"","speech_act","speaker_role","target_child_age_years","gloss","freq","total_freq","relFreq","relFreq_ppt"
"1","other","Father",1.08333333333333,"and",2,417,0.00479616306954436,4.79616306954436
"2","other","Father",1.16666666666667,"and",2,1015,0.00197044334975369,1.97044334975369
"3","other","Father",1.17488021902806,"and",1,18,0.0555555555555556,55.5555555555556
"4","other","Father",1.18583162217659,"and",2,65,0.0307692307692308,30.7692307692308
"5","other","Father",1.19404517453799,"and",2,40,0.05,50
"6","other","Father",1.25,"and",23,2317,0.00992662926197669,9.92662926197669
"7","other","Father",1.25,"or",2,2317,0.000863185153215365,0.863185153215365
"8","other","Father",1.26368925393566,"and",1,19,0.0526315789473684,52.6315789473684
"9","other","Father",1.33333333333333,"and",4,706,0.0056657223796034,5.6657223796034
"10","other","Father",1.33333333333333,"or",3,706,0.00424929178470255,4.24929178470255
"11","other","Father",1.34154688569473,"or",1,62,0.0161290322580645,16.1290322580645
"12","other","Father",1.36344969199179,"and",4,98,0.0408163265306122,40.8163265306122
"13","other","Father",1.36344969199179,"or",1,98,0.0102040816326531,10.2040816326531
"14","other","Father",1.3990417522245,"and",2,33,0.0606060606060606,60.6060606060606
"15","other","Father",1.40177960301164,"and",7,72,0.0972222222222222,97.2222222222222
"16","other","Father",1.41666666666667,"and",21,2600,0.00807692307692308,8.07692307692308
"17","other","Father",1.41666666666667,"or",1,2600,0.000384615384615385,0.384615384615385
"18","other","Father",1.42214236824093,"and",1,40,0.025,25
"19","other","Father",1.42488021902806,"and",2,49,0.0408163265306122,40.8163265306122
"20","other","Father",1.43309377138946,"and",1,15,0.0666666666666667,66.6666666666667
"21","other","Father",1.44678302532512,"and",4,40,0.1,100
"22","other","Father",1.47142368240931,"and",1,17,0.0588235294117647,58.8235294117647
"23","other","Father",1.4796372347707,"and",1,98,0.0102040816326531,10.2040816326531
"24","other","Father",1.48237508555784,"and",1,5,0.2,200
"25","other","Father",1.49332648870637,"and",4,157,0.0254777070063694,25.4777070063694
"26","other","Father",1.5,"and",11,147,0.0748299319727891,74.8299319727891
"27","other","Father",1.5,"or",1,147,0.00680272108843537,6.80272108843537
"28","other","Father",1.51095140314853,"and",1,7,0.142857142857143,142.857142857143
"29","other","Father",1.52464065708419,"and",4,53,0.0754716981132075,75.4716981132075
"30","other","Father",1.53832991101985,"and",4,71,0.0563380281690141,56.3380281690141
"31","other","Father",1.53832991101985,"or",1,71,0.0140845070422535,14.0845070422535
"32","other","Father",1.54380561259411,"and",2,51,0.0392156862745098,39.2156862745098
"33","other","Father",1.55475701574264,"and",1,44,0.0227272727272727,22.7272727272727
"34","other","Father",1.55749486652977,"and",3,45,0.0666666666666667,66.6666666666667
"35","other","Father",1.57118412046543,"and",1,33,0.0303030303030303,30.3030303030303
"36","other","Father",1.57392197125257,"and",1,28,0.0357142857142857,35.7142857142857
"37","other","Father",1.58333333333333,"and",15,1293,0.0116009280742459,11.6009280742459
"38","other","Father",1.60523613963039,"and",1,150,0.00666666666666667,6.66666666666667
"39","other","Father",1.64356605065024,"and",1,62,0.0161290322580645,16.1290322580645
"40","other","Father",1.64630390143737,"and",1,31,0.032258064516129,32.258064516129
"41","other","Father",1.67214236824093,"and",13,91,0.142857142857143,142.857142857143
"42","other","Father",1.67488021902806,"and",5,18,0.277777777777778,277.777777777778
"43","other","Father",1.67488021902806,"or",1,18,0.0555555555555556,55.5555555555556
"44","other","Father",1.71047227926078,"and",3,53,0.0566037735849057,56.6037735849057
